"","Rank & Title","IMDb Rating"
"88","88.
      Reservoir Dogs
        (1992)",8.3
"89","89.
      Good Will Hunting
        (1997)",8.3
"90","90.
      2001: A Space Odyssey
        (1968)",8.3
"91","91.
      Requiem for a Dream
        (2000)",8.3
"92","92.
      Vertigo
        (1958)",8.3
"93","93.
      M - Eine Stadt sucht einen Mörder
        (1931)",8.3
"94","94.
      Dangal
        (2016)",8.3
"95","95.
      Eternal Sunshine of the Spotless Mind
        (2004)",8.3
"96","96.
      Jagten
        (2012)",8.3
"97","97.
      Citizen Kane
        (1941)",8.3
"98","98.
      1917
        (2019)",8.3
"99","99.
      Full Metal Jacket
        (1987)",8.2
"100","100.
      Ladri di biciclette
        (1948)",8.2
"101","101.
      The Kid
        (1921)",8.2
"102","102.
      A Clockwork Orange
        (1971)",8.2
"103","103.
      Singin' in the Rain
        (1952)",8.2
"104","104.
      North by Northwest
        (1959)",8.2
"105","105.
      Snatch
        (2000)",8.2
"106","106.
      Scarface
        (1983)",8.2
"107","107.
      Taxi Driver
        (1976)",8.2
"108","108.
      Ikiru
        (1952)",8.2
"109","109.
      Lawrence of Arabia
        (1962)",8.2
"110","110.
      Amélie
        (2001)",8.2
"111","111.
      Toy Story 3
        (2010)",8.2
"112","112.
      The Sting
        (1973)",8.2
"113","113.
      Metropolis
        (1927)",8.2
"114","114.
      Jodaeiye Nader az Simin
        (2011)",8.2
"115","115.
      Incendies
        (2010)",8.2
"116","116.
      Per qualche dollaro in più
        (1965)",8.2
"117","117.
      The Apartment
        (1960)",8.2
"118","118.
      Idi i smotri
        (1985)",8.2
"119","119.
      Double Indemnity
        (1944)",8.2
"120","120.
      To Kill a Mockingbird
        (1962)",8.2
"121","121.
      Up
        (2009)",8.2
"122","122.
      Indiana Jones and the Last Crusade
        (1989)",8.2
"123","123.
      L.A. Confidential
        (1997)",8.2
"124","124.
      Heat
        (1995)",8.2
"125","125.
      Die Hard
        (1988)",8.2
"126","126.
      Monty Python and the Holy Grail
        (1975)",8.2
"127","127.
      Rashômon
        (1950)",8.2
"128","128.
      Batman Begins
        (2005)",8.2
"129","129.
      Yôjinbô
        (1961)",8.2
"130","130.
      Green Book
        (2018)",8.2
"131","131.
      Bacheha-Ye aseman
        (1997)",8.2
"132","132.
      Der Untergang
        (2004)",8.2
"133","133.
      Unforgiven
        (1992)",8.2
"134","134.
      Ran
        (1985)",8.2
"135","135.
      Some Like It Hot
        (1959)",8.2
"136","136.
      Hauru no ugoku shiro
        (2004)",8.2
"137","137.
      A Beautiful Mind
        (2001)",8.2
"138","138.
      Casino
        (1995)",8.2
"139","139.
      All About Eve
        (1950)",8.2
"140","140.
      The Great Escape
        (1963)",8.2
"141","141.
      Anand
        (1971)",8.2
"142","142.
      The Wolf of Wall Street
        (2013)",8.2
"143","143.
      Pan's Labyrinth
        (2006)",8.2
"144","144.
      El secreto de sus ojos
        (2009)",8.1
"145","145.
      Lock, Stock and Two Smoking Barrels
        (1998)",8.1
"146","146.
      Raging Bull
        (1980)",8.1
"147","147.
      Tonari no Totoro
        (1988)",8.1
"148","148.
      There Will Be Blood
        (2007)",8.1
"149","149.
      Judgment at Nuremberg
        (1961)",8.1
"150","150.
      The Treasure of the Sierra Madre
        (1948)",8.1
"151","151.
      Three Billboards Outside Ebbing, Missouri
        (2017)",8.1
"152","152.
      Dial M for Murder
        (1954)",8.1
"153","153.
      Chinatown
        (1974)",8.1
"154","154.
      The Gold Rush
        (1925)",8.1
"155","155.
      Babam ve Oglum
        (2005)",8.1
"156","156.
      Shutter Island
        (2010)",8.1
"157","157.
      No Country for Old Men
        (2007)",8.1
"158","158.
      V for Vendetta
        (2005)",8.1
"159","159.
      Det sjunde inseglet
        (1957)",8.1
"160","160.
      Inside Out
        (2015)",8.1
"161","161.
      Warrior
        (2011)",8.1
"162","162.
      The Elephant Man
        (1980)",8.1
"163","163.
      The Thing
        (1982)",8.1
"164","164.
      The Sixth Sense
        (1999)",8.1
"165","165.
      Trainspotting
        (1996)",8.1
"166","166.
      Jurassic Park
        (1993)",8.1
"167","167.
      Gone with the Wind
        (1939)",8.1
"168","168.
      The Truman Show
        (1998)",8.1
"169","169.
      Smultronstället
        (1957)",8.1
"170","170.
      Finding Nemo
        (2003)",8.1
"171","171.
      Blade Runner
        (1982)",8.1
"172","172.
      Stalker
        (1979)",8.1
"173","173.
      Kill Bill: Vol. 1
        (2003)",8.1
"174","174.
      Room
        (2015)",8.1
"175","175.
      The Bridge on the River Kwai
        (1957)",8.1
"176","176.
      Fargo
        (1996)",8.1
"177","177.
      Salinui chueok
        (2003)",8.1
"178","178.
      The Third Man
        (1949)",8.1
"179","179.
      Tôkyô monogatari
        (1953)",8.1
"180","180.
      Gran Torino
        (2008)",8.1
"181","181.
      On the Waterfront
        (1954)",8.1
"182","182.
      Relatos salvajes
        (2014)",8.1
"183","183.
      The Deer Hunter
        (1978)",8.1
"184","184.
      Klaus
        (2019)",8.1
"185","185.
      In the Name of the Father
        (1993)",8.1
"186","186.
      Mary and Max
        (2009)",8.1
"187","187.
      Andhadhun
        (2018)",8.1
"188","188.
      Gone Girl
        (2014)",8.1
"189","189.
      Hacksaw Ridge
        (2016)",8.1
"190","190.
      The Grand Budapest Hotel
        (2014)",8.1
"191","191.
      Before Sunrise
        (1995)",8.1
"192","192.
      Catch Me If You Can
        (2002)",8.1
"193","193.
      The Big Lebowski
        (1998)",8.1
"194","194.
      Persona
        (1966)",8.1
"195","195.
      Prisoners
        (2013)",8.1
"196","196.
      Eskiya
        (1996)",8.1
"197","197.
      To Be or Not to Be
        (1942)",8.1
"198","198.
      Sherlock Jr.
        (1924)",8.1
"199","199.
      Ford v. Ferrari
        (2019)",8.1
"200","200.
      The General
        (1926)",8.1
"201","201.
      How to Train Your Dragon
        (2010)",8.1
"202","202.
      Mr. Smith Goes to Washington
        (1939)",8.1
"203","203.
      12 Years a Slave
        (2013)",8.1
"204","204.
      Barry Lyndon
        (1975)",8.1
"205","205.
      Mad Max: Fury Road
        (2015)",8.1
"206","206.
      Million Dollar Baby
        (2004)",8.1
"207","207.
      Stand by Me
        (1986)",8.1
"208","208.
      Network
        (1976)",8.1
"209","209.
      Cool Hand Luke
        (1967)",8.1
"210","210.
      Dead Poets Society
        (1989)",8.1
"211","211.
      Hachi: A Dog's Tale
        (2009)",8.1
"212","212.
      Ben-Hur
        (1959)",8.1
"213","213.
      Harry Potter and the Deathly Hallows: Part 2
        (2011)",8.1
"214","214.
      Into the Wild
        (2007)",8.1
"215","215.
      Platoon
        (1986)",8.1
"216","216.
      Logan
        (2017)",8.1
"217","217.
      Life of Brian
        (1979)",8
"218","218.
      Le salaire de la peur
        (1953)",8
"219","219.
      Rush
        (2013)",8
"220","220.
      Ah-ga-ssi
        (2016)",8
"221","221.
      La passion de Jeanne d'Arc
        (1928)",8
"222","222.
      Les quatre cents coups
        (1959)",8
"223","223.
      Andrei Rublev
        (1966)",8
"224","224.
      Hotel Rwanda
        (2004)",8
"225","225.
      Spotlight
        (2015)",8
"226","226.
      Amores perros
        (2000)",8
"227","227.
      Du rififi chez les hommes
        (1955)",8
"228","228.
      La haine
        (1995)",8
"229","229.
      Kaze no tani no Naushika
        (1984)",8
"230","230.
      Gangs of Wasseypur
        (2012)",8
"231","231.
      Rocky
        (1976)",8
"232","232.
      Monsters, Inc.
        (2001)",8
"233","233.
      Rang De Basanti
        (2006)",8
"234","234.
      Rebecca
        (1940)",8
"235","235.
      Before Sunset
        (2004)",8
"236","236.
      Portrait de la jeune fille en feu
        (2019)",8
"237","237.
      Fa yeung nin wah
        (2000)",8
"238","238.
      Paris, Texas
        (1984)",8
"239","239.
      It Happened One Night
        (1934)",8
"240","240.
      Drishyam
        (2015)",8
"241","241.
      Contratiempo
        (2016)",8
"242","242.
      The Help
        (2011)",8
"243","243.
      The Princess Bride
        (1987)",8
"244","244.
      The Circus
        (1928)",8
"245","245.
      La battaglia di Algeri
        (1966)",8
"246","246.
      The Terminator
        (1984)",8
"247","247.
      Aladdin
        (1992)",8
"248","248.
      Mandariinid
        (2013)",8
"249","249.
      Kumonosu-jô
        (1957)",8
"250","250.
      Koe no katachi
        (2016)",8
